date,UNTL1007
2012-04-27,274.4818605781294
2012-04-28,274.34152122269904
2012-04-29,274.20118186726864
2012-04-30,274.06084251183825
2012-05-01,273.9205031564079
2012-05-02,273.7801638009775
2012-05-03,273.6398244455472
2012-05-04,273.4994850901168
2012-05-05,273.3591457346864
2012-05-06,273.218806379256
2012-05-07,273.0784670238256
2012-05-08,272.9381276683952
2012-05-09,272.7977883129649
2012-05-10,272.6574489575345
2012-05-11,272.5171096021041
2012-05-12,272.37677024667374
2012-05-13,272.23643089124334
2012-05-14,272.096091535813
2012-05-15,271.9557521803826
2012-05-16,271.8154128249522
2012-05-17,271.67507346952186
2012-05-18,271.53473411409146
2012-05-19,271.39439475866106
2012-05-20,271.2540554032307
2012-05-21,271.1137160478003
2012-05-22,270.9733766923699
2012-05-23,270.8330373369396
2012-05-24,270.6926979815092
2012-05-25,270.5523586260788
2012-05-26,270.41201927064844
2012-05-27,270.27167991521804
2012-05-28,270.13134055978765
2012-05-29,269.9910012043573
2012-05-30,269.8506618489269
2012-05-31,269.71032249349656
2012-06-01,269.56998313806616
2012-06-02,269.42964378263576
2012-06-03,269.2893044272054
2012-06-04,269.148965071775
2012-06-05,269.0086257163446
2012-06-06,268.8682863609143
2012-06-07,268.7279470054839
2012-06-08,268.5876076500535
2012-06-09,268.44726829462314
2012-06-10,268.30692893919274
2012-06-11,268.1665895837624
2012-06-12,268.026250228332
2012-06-13,267.8859108729016
2012-06-14,267.74557151747126
2012-06-15,267.60523216204086
2012-06-16,267.46489280661046
2012-06-17,267.3245534511801
2012-06-18,267.1842140957497
2012-06-19,267.0438747403193
2012-06-20,266.903535384889
2012-06-23,266.7631960294586
2012-06-24,266.6228566740282
2012-06-25,266.48251731859784
2012-06-26,266.34217796316744
2012-06-27,266.20183860773705
2012-06-28,266.0614992523067
2012-06-29,265.9211598968763
2012-06-30,265.780820541446
2012-07-01,265.6404811860156
2012-07-02,265.5001418305852
2012-07-03,265.3598024751548
2012-07-04,265.2194631197244
2012-07-05,265.079123764294
2012-07-06,264.9387844088637
2012-07-07,264.7984450534333
2012-07-08,264.6581056980029
2012-07-09,264.51776634257254
2012-07-10,264.37742698714214
2012-07-11,264.23708763171174
2012-07-12,264.0967482762814
2012-07-13,263.956408920851
2012-07-14,263.81606956542066
2012-07-15,263.67573020999026
2012-07-16,263.53539085455986
2012-07-17,263.3950514991295
2012-07-18,263.2547121436991
2012-07-19,263.1143727882687
2012-07-20,262.9740334328384
2012-07-21,262.833694077408
2012-07-22,262.6933547219776
2012-07-23,262.55301536654724
2012-07-24,262.41267601111684
2012-07-25,262.27233665568644
2012-07-26,262.1319973002561
2012-07-27,210.6469529085873
2012-07-28,211.3347368421053
2012-07-29,212.0225207756233
2012-07-30,212.71030470914133
2012-07-31,213.39808864265933
2012-08-01,214.0858725761773
2012-08-02,214.77365650969531
2012-08-03,215.46144044321332
2012-08-04,216.14922437673133
2012-08-05,216.83700831024936
2012-08-06,217.52479224376737
2012-08-07,218.2125761772854
2012-08-08,218.90036011080343
2012-08-09,219.5881440443214
2012-08-10,220.2759279778394
2012-08-11,220.96371191135745
2012-08-12,221.65149584487543
2012-08-13,222.33927977839343
2012-08-14,223.02706371191144
2012-08-15,223.71484764542947
2012-08-16,224.38997229916907
2012-08-17,225.07731301939063
2012-08-18,225.76465373961227
2012-08-19,226.45199445983388
2012-08-20,227.1393351800555
2012-08-21,227.8266759002771
2012-08-22,228.5140166204987
2012-08-23,229.20135734072036
2012-08-24,229.46908587257627
2012-08-25,230.15642659279789
2012-08-26,230.8437673130195
2012-08-27,231.5311080332411
2012-08-28,232.21844875346272
