date,TPRO0000
2022-07-01,87.46929646765903
2022-08-01,83.28183091044784
2022-09-01,77.60517012360853
2022-10-01,80.5184001579574
2022-11-01,75.36628597494969
2022-12-01,69.2058271241128
2023-01-01,65.11381753262432
2023-02-01,64.20614889329677
2023-03-01,60.76346147973374
2023-04-01,68.72636875096038
2023-05-01,61.37579299351686
2023-06-01,58.08004635589685
2023-07-01,65.58100495677098
2023-08-01,74.65570261378643
2023-09-01,82.73572360463547
2023-10-01,78.2940630626998
2023-11-01,71.40485027644701
2023-12-01,64.2592610633221
2024-01-01,65.3447774034736
2024-02-01,69.9756917361025
2024-03-01,73.5782906261333
2024-04-01,77.62433424337358
2024-05-01,71.85386648117142
2024-06-01,72.14808715473049
2024-07-01,74.51216855181282
2024-08-01,68.13310891940957


