date,PCPI0000
1983-08-01,0.1110243560214357
1983-09-01,0.1153313353479547
1983-10-01,0.1186377033129558
1983-11-01,0.1183766742658976
1983-12-01,0.1183331694258336
1984-01-01,0.1212044889768463
1984-02-01,0.1233797310601378
1984-03-01,0.1264250699780808
1984-04-01,0.129644428262954
1984-05-01,0.1312541074120651
1984-06-01,0.1319936897198503
1984-07-01,0.1336903785424148
1984-08-01,0.1361701545195029
1984-09-01,0.1383018917627304
1984-10-01,0.1413472306806734
1984-11-01,0.1455236954870005
1984-12-01,0.1480034714640886
1985-01-01,0.1574875269517781
1985-02-01,0.1593147303078834
1985-03-01,0.1622295546989601
1985-04-01,0.167015087286206
1985-05-01,0.1690163100025672
1985-06-01,0.1723226779742428
1985-07-01,0.1750199781583252
1985-08-01,0.1753680168921857
