date,RPRO0000
2022-08-01,650.9870072119056
2022-09-01,596.9794533357162
2022-10-01,746.8542336833325
2022-11-01,692.6677564357142
2022-12-01,709.3825369095211
2023-01-01,720.2050707833334
2023-02-01,624.035006504762
2023-03-01,573.0874160928572
2023-04-01,534.729809697619
2023-05-01,575.5317820500001
2023-06-01,531.8907177309524
2023-07-01,574.0617727309524
2023-08-01,653.9205330071427
2023-09-01,656.1338126619046
2023-10-01,810.7804054428572
2023-11-01,838.8460334809524
2023-12-01,786.7225540309523
2024-01-01,707.9298890357143
2024-02-01,667.650411802381
2024-03-01,743.875781452381
2024-04-01,799.908991204762
2024-05-01,838.8072711142858
2024-06-01,596.2446148547618
2024-07-01,702.5783432857143
2024-08-01,775.346027647619
2024-10-01,805.7471051880954


