date,PIPP0000
2022-07-01,109.864713029359
2023-07-01,110.130883291395
2024-07-01,115.0296277098378
1998-08-01,13.608996446450227
1999-08-01,22.409798859250223
2000-08-01,51.78851094339043
2001-08-01,56.419490644885485
2002-08-01,59.22193133584969
2003-08-01,59.85626002161063
2004-08-01,63.03841711194537
2005-08-01,66.07067519676716
2006-08-01,68.26361321477376
2007-08-01,75.02370131795523
2008-08-01,86.27523059908546
2009-08-01,82.53182521597391
2010-08-01,89.54112780721016
2011-08-01,94.26225725766916
2012-08-01,96.2273706228774
2013-08-01,96.020305212105
2014-08-01,104.1539119990178
2015-08-01,104.59419389401576
2016-08-01,102.26973131386
2017-08-01,102.014210155913
2018-08-01,102.58453099486906
2019-08-01,101.94416348927126
2020-08-01,100.67170816814692
2021-08-01,102.4498926014764
